                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4338,                  1.965,                 1.7382,                 1.4271,                 2.9092,                 1.7274,                0.49468,                0.48537,                0.45283,                0.25029,                 1.5445,                 2.0535,                 2.2363,                 1.5071,                 2.1362,                 2.1686,              0.0033266,              0.0033266,              0.0033266
                      2,                 1.4743,                 1.6505,                  1.747,                 1.5349,                 1.8051,                 1.7701,                0.33163,                 0.5421,                0.36657,                0.17342,                 1.6482,                  2.656,                 2.3948,                 1.7226,                 2.7717,                 2.4641,               0.006627,               0.006627,               0.006627
                      3,                 1.5763,                 1.8856,                 1.8303,                 1.6457,                 2.0709,                   1.87,                0.38952,                0.37229,                0.30811,                0.13778,                  2.028,                 2.4558,                  2.704,                 2.0215,                  2.633,                 2.7058,              0.0098943,              0.0098943,              0.0098943
                      4,                 1.6466,                  2.086,                 1.8859,                 1.7233,                 2.2947,                 1.8995,                0.28583,                0.43787,                0.25844,                0.11847,                 1.9028,                 2.6595,                 2.4954,                 1.9632,                 2.8752,                 2.5662,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6362,                  2.047,                 1.8807,                 1.6959,                 2.2386,                 1.9026,                0.33194,                0.48074,                0.30991,                0.14521,                 1.8412,                 2.5375,                 2.4339,                 1.8822,                 2.5391,                 2.4966,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.5895,                 1.9974,                 1.8423,                 1.6397,                 2.1814,                 1.8518,                0.39775,                0.32764,                0.30553,                0.12951,                  1.766,                 2.6207,                 2.3893,                 1.8127,                 2.5793,                 2.4178,               0.009802,               0.009802,               0.009802
                      7,                 1.5831,                 1.9454,                 1.8322,                 1.6538,                 2.0985,                 1.8459,                0.43348,                0.43587,                 0.3728,                0.19459,                 1.7169,                 2.3728,                 2.3451,                 1.7387,                 2.3025,                  2.371,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.5456,                  1.884,                 1.8145,                 1.6061,                 2.0425,                 1.8229,                0.54178,                 0.4197,                0.45755,                0.22622,                 1.7209,                  1.966,                 2.3743,                 1.8101,                 1.9888,                 2.4741,               0.009703,               0.009703,               0.009703
                      9,                 1.5229,                 1.7946,                 1.7841,                  1.587,                 1.9365,                  1.797,                0.54558,                0.43504,                  0.428,                0.21125,                 1.7737,                  2.562,                 2.3581,                 1.8136,                 2.4946,                  2.354,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.5111,                 1.7971,                  1.767,                 1.5855,                 1.9314,                  1.775,                0.54458,                0.37136,                0.42615,                0.21415,                 1.7494,                 2.3941,                 2.3491,                 1.7553,                 2.3722,                 2.3559,               0.009604,               0.009604,               0.009604
                     11,                 1.5041,                 1.7317,                 1.7715,                 1.5889,                 1.8527,                 1.7874,                0.46589,                0.41067,                 0.4212,                0.21409,                 1.8469,                 2.2094,                  2.573,                 1.8766,                 2.3129,                 2.6645,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.5006,                 1.7013,                 1.7611,                 1.5746,                 1.8256,                 1.7745,                0.52377,                0.44947,                0.48171,                0.27299,                  1.679,                  2.202,                 2.3391,                 1.6658,                 2.2601,                 2.3064,               0.009505,               0.009505,               0.009505
