                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5209,                 2.1888,                 1.7239,                 1.4088,                 4.0564,                 1.6486,                0.06378,                0.18918,                0.04719,                 0.0151,                 2.1599,                 5.1787,                 3.3929,                 1.9103,                 11.862,                 2.8705,             0.00023608,             0.00023608,             0.00023608
                      2,                 1.6384,                 2.0943,                 1.8165,                 1.6336,                 2.4417,                 1.7862,                0.13487,                0.30404,                0.13156,                0.04541,                 2.3449,                 3.5072,                 3.3506,                 2.2015,                  3.754,                 3.1742,             0.00047095,             0.00047095,             0.00047095
                      3,                 1.6452,                 2.0564,                  1.813,                 1.6739,                 2.3129,                  1.784,                0.24568,                0.43321,                0.23271,                0.09898,                  1.927,                 4.0943,                 2.6862,                 1.9484,                 3.6261,                 2.5879,             0.00070268,             0.00070268,             0.00070268
                      4,                 1.6515,                 2.0483,                  1.801,                 1.6825,                 2.2998,                 1.7614,                0.27875,                0.28931,                0.20232,                0.08738,                 2.0749,                 3.3142,                 2.8411,                 2.0493,                  3.595,                 2.7554,             0.00069986,             0.00069986,             0.00069986
                      5,                 1.5959,                 1.9283,                 1.7501,                 1.6381,                 2.1271,                 1.7183,                0.46617,                0.22965,                0.27704,                0.12134,                 1.9112,                 2.7881,                 2.5766,                  1.981,                 2.9593,                 2.5457,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.5633,                 1.8541,                 1.7241,                 1.5915,                 2.0351,                  1.691,                0.41068,                0.28196,                 0.2496,                0.10253,                  1.871,                 3.0659,                 2.4472,                 1.9165,                 3.0776,                  2.467,             0.00069515,             0.00069515,             0.00069515
                      7,                 1.5519,                 1.7727,                 1.7281,                  1.596,                 1.9307,                 1.6914,                0.39218,                0.41352,                0.39042,                0.19963,                 1.7712,                 2.8748,                 2.2809,                 1.7648,                 2.8876,                  2.252,             0.00069044,             0.00069044,             0.00069044
                      8,                 1.5106,                 1.7271,                 1.6718,                 1.5646,                 1.8655,                 1.6363,                0.53191,                0.40093,                0.41655,                0.21048,                 1.8149,                  2.708,                 2.3304,                 1.8191,                 2.8222,                 2.3359,             0.00068573,             0.00068573,             0.00068573
                      9,                 1.5081,                 1.6871,                 1.6684,                 1.5567,                  1.826,                 1.6377,                0.37616,                0.51425,                0.39452,                0.19368,                 1.6814,                 2.3995,                 2.2885,                 1.7052,                 2.4315,                 2.2504,             0.00068101,             0.00068101,             0.00068101
                     10,                 1.4857,                 1.6549,                 1.6611,                 1.5375,                 1.7903,                 1.6177,                0.45977,                 0.4334,                0.34934,                0.18008,                 1.6991,                 2.9068,                 2.2431,                 1.7197,                 2.8644,                 2.2563,              0.0006763,              0.0006763,              0.0006763
                     11,                 1.4711,                 1.6311,                   1.63,                 1.5105,                 1.7774,                 1.6034,                0.45015,                0.51126,                  0.422,                0.21226,                 1.7499,                 1.9603,                  2.352,                 1.7664,                 1.9758,                 2.3418,             0.00067159,             0.00067159,             0.00067159
                     12,                 1.4607,                  1.592,                  1.624,                 1.5031,                 1.7143,                 1.5813,                0.42597,                0.49251,                0.42045,                  0.221,                 1.6686,                 2.5669,                 2.2199,                 1.6936,                 2.4283,                 2.1956,             0.00066688,             0.00066688,             0.00066688
                     13,                 1.4162,                 1.5874,                 1.6246,                 1.4685,                 1.7175,                 1.5857,                0.51784,                0.44107,                0.50411,                0.28004,                 1.6641,                 2.1637,                 2.2268,                 1.6947,                 2.1478,                 2.2259,             0.00066216,             0.00066216,             0.00066216
                     14,                 1.4203,                 1.5439,                 1.6063,                 1.4823,                 1.6425,                 1.5695,                0.55932,                0.46815,                0.52126,                0.28183,                 1.6763,                 2.0316,                 2.2431,                 1.7095,                 2.0097,                 2.2372,             0.00065745,             0.00065745,             0.00065745
                     15,                 1.4127,                 1.5028,                 1.5999,                 1.4839,                 1.5986,                 1.5727,                0.45213,                0.54444,                0.50172,                0.25204,                 1.6404,                 1.8768,                 2.2173,                 1.7196,                 1.9994,                 2.2696,             0.00065274,             0.00065274,             0.00065274
                     16,                 1.4028,                 1.5212,                 1.5997,                 1.4575,                 1.6405,                 1.5708,                0.46624,                0.53789,                0.47626,                0.25166,                 1.7053,                 1.8696,                 2.2819,                 1.7619,                 1.9022,                  2.309,             0.00064803,             0.00064803,             0.00064803
                     17,                 1.3923,                 1.4567,                 1.5839,                 1.4523,                 1.5599,                 1.5546,                0.49226,                0.57841,                0.56016,                 0.2948,                 1.7048,                 1.6532,                 2.2543,                 1.7064,                 1.6744,                 2.2041,             0.00064331,             0.00064331,             0.00064331
                     18,                 1.4155,                 1.4767,                 1.5899,                  1.462,                 1.6038,                 1.5544,                0.47576,                0.61315,                0.52705,                0.29698,                 1.6289,                 2.0416,                 2.1606,                 1.6803,                 2.1382,                 2.1972,              0.0006386,              0.0006386,              0.0006386
                     19,                 1.4014,                 1.4712,                 1.5849,                 1.4552,                 1.5662,                 1.5578,                0.54326,                 0.5269,                0.50562,                 0.2797,                 1.6276,                 2.0099,                  2.189,                 1.6487,                 2.0552,                 2.1975,             0.00063389,             0.00063389,             0.00063389
                     20,                  1.379,                 1.4423,                  1.563,                 1.4421,                 1.5442,                 1.5434,                0.55719,                0.54766,                0.61685,                0.34192,                 1.6425,                 1.7458,                 2.1635,                 1.6717,                 1.7847,                 2.1364,             0.00062918,             0.00062918,             0.00062918
                     21,                 1.3681,                 1.4257,                  1.565,                 1.4226,                 1.5216,                 1.5471,                0.57143,                0.57064,                0.54431,                0.29414,                 1.6227,                 1.9542,                 2.2122,                 1.6378,                 1.9286,                 2.1836,             0.00062446,             0.00062446,             0.00062446
                     22,                 1.3581,                  1.363,                 1.5625,                 1.4127,                  1.445,                 1.5425,                0.47927,                0.61845,                0.57862,                0.32744,                 1.6524,                 1.7737,                 2.2445,                 1.6681,                 1.8298,                 2.2005,             0.00061975,             0.00061975,             0.00061975
                     23,                 1.3589,                 1.3986,                 1.5625,                 1.4234,                 1.4911,                  1.546,                0.52961,                 0.5897,                0.62146,                0.34225,                 1.6037,                  1.702,                 2.1813,                 1.6322,                 1.6997,                  2.156,             0.00061504,             0.00061504,             0.00061504
                     24,                 1.3562,                 1.3784,                 1.5637,                 1.4362,                 1.4638,                 1.5433,                0.49747,                 0.6581,                0.58252,                0.32277,                 1.5571,                 1.6872,                 2.1322,                 1.5828,                 1.7314,                 2.1467,             0.00061033,             0.00061033,             0.00061033
                     25,                 1.3481,                 1.3642,                 1.5567,                 1.3961,                 1.4444,                 1.5351,                0.50692,                0.66678,                0.59402,                0.34171,                 1.5664,                 1.8953,                 2.1248,                 1.6008,                 1.9784,                 2.1255,             0.00060561,             0.00060561,             0.00060561
                     26,                 1.3467,                  1.362,                 1.5408,                 1.4153,                 1.4554,                 1.5233,                0.52521,                0.54386,                0.53324,                0.29998,                 1.6019,                 1.9976,                 2.1031,                 1.6217,                 2.0139,                 2.0759,              0.0006009,              0.0006009,              0.0006009
                     27,                 1.3255,                  1.319,                 1.5385,                 1.3827,                 1.4025,                 1.5189,                0.60568,                0.63844,                0.66323,                0.38766,                 1.6667,                 1.3156,                 2.2866,                 1.6732,                 1.3689,                 2.2477,             0.00059619,             0.00059619,             0.00059619
                     28,                 1.3376,                 1.3146,                 1.5455,                 1.4044,                 1.3898,                  1.526,                0.58168,                0.60083,                0.58458,                0.33028,                 1.5909,                 1.5713,                 2.1374,                 1.6317,                 1.6021,                 2.1356,             0.00059148,             0.00059148,             0.00059148
