                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4406,                 3.1798,                 1.6326,                  1.248,                  6.011,                 1.5175,                0.00335,                0.94548,                0.12667,                0.06981,                 1.2327,                  4.041,                 1.8726,                0.99373,                 10.638,                 1.7577,              0.0002142,              0.0002142,              0.0002142
                      2,                 1.4131,                 2.3374,                 1.5839,                 1.1821,                 5.1453,                 1.4206,                0.00358,                0.94015,                0.18276,                0.08622,                  1.486,                 3.9859,                 2.1436,                  1.155,                 10.429,                 1.9058,             0.00043123,             0.00043123,             0.00043123
                      3,                 1.4246,                 2.0731,                 1.5294,                 1.2502,                 4.4628,                 1.4137,                0.33543,                0.13994,                0.15825,                0.06377,                 1.6065,                 3.5688,                 2.2309,                  1.344,                 9.5513,                 2.0094,             0.00064387,             0.00064387,             0.00064387
                      4,                 1.4566,                 2.0216,                 1.5375,                 1.2991,                 3.9026,                 1.4265,                0.20921,                0.14439,                0.13785,                0.06493,                  1.731,                 3.6988,                 2.5972,                 1.4664,                 7.7402,                 2.3145,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.4486,                 1.8949,                 1.5251,                 1.3367,                 3.2423,                 1.4461,                0.29038,                0.33208,                0.19133,                0.08604,                  1.656,                 3.3016,                 2.3056,                 1.5206,                 5.9728,                 2.2222,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.4384,                 1.7563,                 1.5135,                 1.3488,                 2.7206,                 1.4328,                0.31569,                0.45891,                 0.2924,                0.13048,                 1.7069,                 2.6018,                 2.2518,                 1.6081,                 4.5721,                 2.1942,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.4411,                 1.7262,                 1.5204,                 1.3794,                 2.4553,                 1.4566,                0.26668,                0.47315,                0.19635,                0.08677,                 1.6595,                   3.64,                 2.2083,                 1.5912,                 5.0055,                 2.1867,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.4074,                 1.6424,                 1.4938,                 1.3747,                 2.2233,                 1.4518,                0.38725,                0.39912,                0.32749,                0.16438,                 1.6034,                 2.7069,                 2.2106,                 1.5406,                 3.4425,                 2.1753,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.3938,                 1.5557,                 1.4798,                 1.3593,                      2,                 1.4249,                0.43773,                0.49069,                0.41727,                0.20768,                 1.6619,                 2.4734,                 2.1966,                 1.6281,                 2.9689,                 2.1842,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.3746,                 1.5207,                 1.4726,                  1.347,                 1.9041,                 1.4249,                0.43951,                0.55447,                0.42088,                0.22724,                 1.5672,                 2.1518,                 2.1093,                 1.5649,                 2.6737,                 2.0989,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.3935,                 1.4774,                 1.4673,                  1.389,                 1.8134,                  1.426,                0.64338,                0.52528,                 0.6047,                0.33456,                 1.6089,                 1.6343,                 2.0979,                 1.5986,                 2.1108,                 2.0672,             0.00065038,             0.00065038,             0.00065038
                     12,                  1.339,                 1.4304,                 1.4462,                 1.3383,                 1.7087,                 1.4102,                0.54984,                0.58542,                0.58323,                 0.3427,                 1.5007,                 1.5134,                 2.0101,                 1.5136,                 1.8022,                 2.0418,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.3623,                 1.4147,                 1.4683,                 1.3645,                 1.6686,                 1.4314,                0.53835,                 0.4718,                0.49659,                0.26533,                 1.5298,                 1.6849,                 2.0224,                 1.5214,                 2.0222,                  1.998,             0.00063625,             0.00063625,             0.00063625
                     14,                  1.338,                 1.3762,                 1.4507,                 1.3422,                 1.6068,                 1.4123,                0.48812,                0.53721,                0.42873,                0.24709,                 1.5376,                 2.3815,                 2.0204,                 1.5357,                  2.596,                 1.9801,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.3378,                 1.3678,                 1.4544,                 1.3291,                 1.5922,                 1.4061,                0.54911,                0.55898,                0.52834,                0.29558,                 1.6444,                 2.0035,                 2.2212,                 1.6129,                 2.1494,                 2.1719,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.3422,                 1.3409,                 1.4409,                 1.3467,                  1.575,                  1.401,                0.50512,                0.60779,                0.46747,                0.26142,                 1.6068,                 3.0731,                 2.0615,                 1.6425,                 3.0504,                  2.089,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.3183,                 1.3259,                 1.4317,                  1.336,                 1.5303,                 1.3972,                0.45057,                0.60847,                0.43095,                 0.2452,                 1.4833,                 2.3344,                 1.9297,                 1.4707,                 2.3092,                 1.9076,             0.00060797,             0.00060797,             0.00060797
                     18,                  1.334,                 1.3094,                 1.4383,                 1.3608,                 1.5115,                 1.4049,                0.30741,                 0.5394,                0.35359,                0.20517,                 1.5474,                 2.3908,                 2.0109,                 1.5512,                 2.4086,                 1.9966,              0.0006009,              0.0006009,              0.0006009
