                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5114,                 2.8884,                 1.6382,                 1.4331,                 10.292,                 1.5818,                0.31543,                0.44842,                0.29281,                0.15006,                  1.591,                 2.7461,                 2.2586,                  1.426,                 5.6442,                 2.1127,             0.00023416,             0.00023416,             0.00023416
                      2,                 1.5734,                  1.802,                  1.594,                 1.6056,                 2.2568,                 1.5957,                0.04874,                 0.1017,                0.02424,                0.00732,                 2.3038,                 5.5748,                 3.2502,                 2.1632,                 6.4019,                 2.9393,             0.00046905,             0.00046905,             0.00046905
                      3,                 1.6625,                 1.8664,                 1.6689,                 1.6922,                 2.1433,                 1.6605,                0.05148,                 0.2678,                0.05435,                0.01597,                 2.1993,                 5.3105,                  3.174,                 2.0186,                 28.283,                 2.8999,             0.00070079,             0.00070079,             0.00070079
                      4,                 1.6213,                 1.8301,                 1.6434,                 1.6842,                 2.0402,                  1.627,                 0.1933,                0.26772,                0.13137,                0.05056,                 2.1046,                 4.6278,                 2.6815,                 2.1646,                 4.0279,                 2.6519,             0.00069986,             0.00069986,             0.00069986
                      5,                 1.5986,                 1.7644,                 1.6389,                 1.6562,                 1.9299,                   1.63,                0.48505,                0.31943,                0.31124,                0.13576,                 1.9447,                 3.2335,                 2.5839,                  1.951,                  3.287,                 2.5961,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.5529,                  1.668,                 1.5889,                 1.6111,                 1.8144,                 1.5777,                0.43939,                0.50174,                 0.4617,                0.22267,                 1.8966,                 2.0988,                 2.6467,                 1.8967,                  2.073,                 2.5222,             0.00069515,             0.00069515,             0.00069515
                      7,                 1.5248,                  1.614,                 1.5714,                 1.5864,                 1.7721,                 1.5622,                0.41589,                0.46293,                0.39617,                0.18179,                 1.8312,                 2.6128,                 2.2988,                 1.8953,                 2.6327,                  2.338,             0.00069044,             0.00069044,             0.00069044
                      8,                 1.5097,                 1.5797,                 1.5771,                 1.5715,                 1.7245,                 1.5669,                0.49483,                0.53619,                0.41979,                0.20307,                 1.7448,                  3.168,                 2.2517,                 1.7636,                 3.0175,                 2.2364,             0.00068573,             0.00068573,             0.00068573
                      9,                 1.4631,                 1.5262,                 1.5363,                  1.549,                 1.6363,                 1.5253,                0.45702,                0.37023,                0.29889,                0.15493,                 1.6642,                 3.0507,                 2.0835,                 1.7199,                 3.0819,                 2.1522,             0.00068101,             0.00068101,             0.00068101
                     10,                 1.4639,                  1.496,                 1.5301,                 1.5382,                 1.6089,                 1.5163,                0.58547,                0.59246,                0.61021,                0.32169,                 1.7398,                 1.5481,                 2.3122,                 1.7838,                 1.4812,                 2.2742,              0.0006763,              0.0006763,              0.0006763
