                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4356,                 1.8794,                 1.6353,                 1.4142,                 3.1083,                  1.591,                0.64595,                0.50343,                0.56784,                0.31761,                 1.5225,                 1.7394,                 1.9344,                 1.4812,                 1.8916,                  1.937,              0.0033223,              0.0033223,              0.0033223
                      2,                 1.3441,                 1.3796,                 1.5472,                 1.4002,                  1.522,                 1.5489,                0.60941,                0.45693,                0.50773,                0.24793,                 1.7606,                 2.1161,                 2.3199,                 1.8758,                 2.1196,                 2.4211,              0.0066336,              0.0066336,              0.0066336
                      3,                 1.4396,                 1.6263,                 1.6393,                 1.5199,                 1.7699,                 1.6564,                0.40954,                0.34399,                0.22511,                0.09853,                 2.0571,                  4.739,                 2.8158,                 2.0399,                 4.4763,                 2.7274,               0.009923,               0.009923,               0.009923
                      4,                 1.4605,                 1.7098,                 1.6594,                 1.5358,                 1.8865,                 1.6663,                0.30846,                0.29029,                0.20662,                 0.0842,                 1.9847,                 3.1277,                 2.5774,                 2.0341,                 3.3584,                 2.6712,               0.009901,               0.009901,               0.009901
                      5,                 1.3995,                 1.5819,                 1.6094,                 1.4905,                 1.6872,                 1.6179,                0.49836,                0.55711,                0.47656,                0.24872,                 1.6889,                 2.3997,                 2.1452,                 1.8106,                 2.5244,                 2.2224,               0.009901,               0.009901,               0.009901
                      6,                 1.3497,                 1.4705,                  1.569,                  1.432,                  1.569,                 1.5777,                0.54464,                0.52971,                0.50812,                0.27245,                 1.6781,                 2.2604,                 2.1355,                 1.7387,                 2.2182,                 2.1711,               0.009868,               0.009868,               0.009868
                      7,                 1.3231,                 1.3941,                 1.5452,                 1.4034,                 1.4823,                 1.5484,                0.69087,                0.45638,                0.58088,                0.33057,                 1.6836,                 1.9535,                 2.2143,                  1.697,                  2.193,                 2.2072,               0.009835,               0.009835,               0.009835
                      8,                 1.3067,                 1.3477,                 1.5347,                 1.3919,                 1.4193,                 1.5437,                0.58901,                0.56523,                0.58377,                0.32958,                 1.5144,                 1.6228,                 1.9382,                 1.6023,                 1.6133,                 2.0202,               0.009802,               0.009802,               0.009802
                      9,                   1.28,                 1.2989,                 1.5127,                 1.3564,                 1.3866,                 1.5125,                0.65403,                0.54997,                0.65597,                0.36695,                 1.7101,                 1.3904,                 2.1837,                 1.7454,                 1.2827,                 2.2167,               0.009769,               0.009769,               0.009769
                     10,                 1.2615,                 1.2503,                 1.4966,                 1.3394,                 1.3225,                 1.5017,                0.60094,                0.60687,                0.57558,                0.32159,                  1.486,                 1.6615,                 1.9711,                 1.5382,                   1.67,                 2.0149,               0.009736,               0.009736,               0.009736
                     11,                 1.2487,                 1.2172,                 1.4876,                 1.3263,                 1.2891,                  1.492,                0.60801,                0.65273,                0.63498,                0.35947,                 1.4968,                 1.3163,                 1.9569,                 1.5024,                  1.425,                 1.9295,               0.009703,               0.009703,               0.009703
                     12,                 1.2368,                 1.1744,                 1.4717,                 1.3154,                 1.2432,                 1.4756,                0.62514,                0.63545,                0.68571,                 0.3994,                 1.5049,                 1.2842,                 2.0116,                 1.5861,                 1.2866,                 2.0696,                0.00967,                0.00967,                0.00967
                     13,                 1.2254,                 1.1565,                 1.4669,                 1.3012,                 1.2248,                 1.4712,                0.63435,                 0.5799,                0.57715,                0.32749,                  1.485,                 1.9343,                 1.9155,                 1.5538,                 1.8692,                 1.9452,               0.009637,               0.009637,               0.009637
                     14,                 1.2137,                  1.125,                 1.4537,                 1.2902,                 1.1971,                 1.4579,                0.61555,                0.65392,                0.63073,                0.36505,                   1.43,                  1.517,                 1.8897,                   1.52,                 1.6525,                 1.9495,               0.009604,               0.009604,               0.009604
                     15,                 1.2049,                 1.1093,                 1.4494,                 1.2856,                 1.1726,                 1.4521,                0.67108,                0.66577,                0.67106,                0.37678,                 1.4587,                 1.2745,                 1.9138,                 1.5354,                 1.2146,                 1.9798,               0.009571,               0.009571,               0.009571
                     16,                 1.2002,                 1.0832,                 1.4401,                 1.2765,                 1.1495,                 1.4449,                0.66182,                0.69661,                0.69783,                0.41485,                  1.389,                  1.112,                 1.8385,                 1.4563,                 1.1084,                 1.8656,               0.009538,               0.009538,               0.009538
                     17,                 1.1927,                 1.0599,                 1.4317,                 1.2647,                 1.1299,                  1.436,                0.67626,                0.61852,                0.69938,                0.43349,                  1.386,                 1.2349,                 1.8464,                 1.4178,                 1.2996,                 1.8727,               0.009505,               0.009505,               0.009505
                     18,                 1.1764,                 1.0383,                 1.4247,                 1.2506,                 1.1083,                 1.4272,                0.67437,                0.62774,                0.64256,                0.37529,                 1.4654,                 1.2197,                 1.9254,                 1.4955,                 1.3198,                 1.9429,               0.009472,               0.009472,               0.009472
                     19,                 1.1692,                 1.0199,                 1.4204,                 1.2425,                   1.09,                 1.4248,                 0.6995,                0.61582,                0.73266,                0.43876,                 1.4095,                 1.3466,                 1.8399,                 1.4724,                 1.3433,                 1.8872,               0.009439,               0.009439,               0.009439
                     20,                 1.1669,                 1.0137,                 1.4176,                 1.2385,                  1.075,                 1.4207,                0.68318,                0.65538,                0.69756,                0.41438,                 1.3984,                 1.1034,                 1.8642,                 1.4413,                 1.1191,                 1.8868,               0.009406,               0.009406,               0.009406
                     21,                  1.154,                 1.0017,                 1.4082,                 1.2304,                 1.0702,                 1.4158,                0.67208,                 0.6689,                0.68269,                0.38919,                 1.4182,                  1.263,                 1.8849,                 1.4942,                 1.2867,                 1.9447,               0.009373,               0.009373,               0.009373
                     22,                 1.1474,                0.96609,                 1.3989,                 1.2156,                  1.034,                 1.4054,                0.66869,                0.67967,                0.67823,                0.38783,                 1.4929,                 1.6157,                  1.969,                 1.5275,                 1.5764,                 1.9938,                0.00934,                0.00934,                0.00934
                     23,                 1.1423,                0.96958,                 1.3982,                 1.2148,                 1.0435,                  1.405,                0.70812,                0.65363,                0.69127,                0.39575,                 1.5654,                 1.1498,                 1.9552,                 1.6329,                 1.1932,                 1.9767,               0.009307,               0.009307,               0.009307
                     24,                   1.13,                 0.9553,                 1.3911,                 1.2009,                 1.0321,                 1.3992,                0.72951,                0.60129,                0.68839,                0.40523,                 1.4006,                  1.451,                 1.8792,                 1.4597,                 1.4852,                 1.9237,               0.009274,               0.009274,               0.009274
                     25,                 1.1287,                0.93985,                 1.3875,                 1.1956,                 1.0147,                 1.3925,                0.73113,                0.61408,                0.70703,                0.40847,                 1.4926,                 1.4758,                 1.9769,                 1.5406,                 1.4732,                  2.004,               0.009241,               0.009241,               0.009241
                     26,                 1.1127,                0.91857,                 1.3729,                 1.1828,                0.98566,                 1.3818,                0.68144,                0.65917,                0.70611,                0.41706,                 1.4165,                 1.2959,                 1.8875,                 1.4627,                 1.3156,                 1.9194,               0.009208,               0.009208,               0.009208
                     27,                 1.1127,                 0.9173,                 1.3745,                 1.1825,                0.99511,                 1.3842,                 0.7021,                 0.6838,                0.72672,                0.42969,                 1.3941,                 1.1386,                 1.8366,                 1.4623,                 1.1611,                 1.8824,               0.009175,               0.009175,               0.009175
