                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5079,                 2.1963,                 1.7337,                 1.5034,                 3.2502,                 1.6899,                0.07444,                0.09846,                0.03184,                0.00952,                 2.8311,                 4.0797,                 3.0879,                 2.7742,                 7.4642,                 2.9564,             0.00041508,             0.00041508,             0.00041508
                      2,                 1.7042,                  2.431,                 1.9054,                 1.7272,                 2.7532,                 1.8578,                0.35937,                0.25359,                0.11656,                0.04268,                 2.0527,                 4.6405,                  2.533,                 1.9909,                 4.6359,                 2.3223,               0.000829,               0.000829,               0.000829
                      3,                 1.6891,                 2.3729,                 1.8877,                 1.6986,                 2.7092,                 1.8163,                0.09165,                0.22596,                0.08799,                0.03041,                 2.1418,                 5.3856,                 2.3573,                 2.0918,                 4.9513,                 2.3082,              0.0012402,              0.0012402,              0.0012402
                      4,                 1.6305,                 2.2997,                 1.8477,                 1.6508,                 2.6375,                 1.7874,                0.23849,                0.33671,                0.19978,                0.08467,                 1.7813,                 2.4034,                  2.106,                 1.8085,                   2.61,                 2.0558,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.5613,                 2.1318,                 1.7939,                 1.5961,                 2.4241,                 1.7394,                0.41297,                0.35216,                0.28443,                0.12045,                 1.7735,                 2.3203,                 2.0586,                 1.7485,                 2.4539,                 2.0136,              0.0012376,              0.0012376,              0.0012376
                      6,                 1.5476,                 2.1068,                 1.7691,                 1.5662,                 2.3961,                 1.7096,                0.33098,                0.38378,                0.27115,                0.11801,                 1.7592,                 2.2202,                 2.0338,                 1.7603,                  2.507,                 2.0101,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.4864,                 2.0103,                 1.7279,                 1.5201,                  2.299,                 1.6825,                0.36431,                0.41093,                0.34428,                0.16032,                 1.6141,                 1.9261,                 1.9062,                 1.6293,                 2.0488,                 1.8662,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.4663,                 1.9308,                 1.7047,                  1.503,                 2.1927,                 1.6629,                0.40151,                0.43025,                0.34206,                0.16127,                 1.6364,                 1.8876,                 1.9072,                   1.67,                 2.0689,                 1.8934,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.4468,                 1.8739,                 1.6834,                 1.4827,                 2.1038,                 1.6395,                0.33741,                0.44474,                0.31624,                 0.1503,                 1.5795,                 1.9753,                 1.8986,                    1.6,                 2.1529,                 1.8591,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.4002,                 1.8263,                 1.6627,                 1.4472,                 2.0525,                 1.6223,                 0.3946,                0.40531,                0.36775,                0.17414,                 1.5872,                 1.8909,                 1.9104,                 1.6143,                 2.0098,                 1.8456,               0.001217,               0.001217,               0.001217
