                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3014,                 2.2358,                 1.5113,                 1.2612,                 4.7815,                 1.4497,                0.19802,                0.27682,                0.16367,                0.06994,                 1.6559,                 3.0288,                 2.3664,                 1.5832,                 3.9128,                 2.0392,             0.00023439,             0.00023439,             0.00023439
                      2,                 1.4854,                 1.9265,                 1.6691,                 1.5021,                 2.3559,                 1.6368,                0.23379,                0.26308,                0.15043,                0.05742,                 1.9467,                 4.1903,                 2.4101,                 1.8374,                 4.2022,                 2.2709,             0.00046928,             0.00046928,             0.00046928
                      3,                 1.5326,                 1.9527,                 1.6578,                  1.579,                 2.1968,                 1.6243,                0.14837,                0.16123,                0.08598,                0.03305,                 2.1315,                 7.0589,                 2.5793,                 2.0518,                 5.5565,                 2.3983,             0.00070102,             0.00070102,             0.00070102
                      4,                 1.4991,                  1.914,                 1.6542,                 1.5654,                 2.1418,                 1.6522,                0.17115,                0.27196,                0.10742,                0.03733,                 2.1438,                 4.1064,                 2.5037,                 2.2097,                 4.9858,                 2.4803,             0.00069986,             0.00069986,             0.00069986
                      5,                 1.5059,                 1.8774,                 1.6591,                 1.5679,                 2.1222,                 1.6296,                0.31617,                0.37316,                0.25671,                0.09517,                 1.8823,                 2.7152,                 2.0993,                 2.0161,                 3.0982,                  2.194,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.4636,                 1.8128,                 1.6373,                 1.5191,                 2.0287,                 1.6236,                0.41967,                0.39502,                0.36426,                0.15992,                 1.7546,                  2.231,                 1.9692,                  1.798,                 2.2237,                 1.9619,             0.00069515,             0.00069515,             0.00069515
                      7,                  1.439,                 1.7314,                 1.6122,                 1.5046,                 1.9293,                 1.5884,                0.31939,                0.46557,                0.33154,                0.15387,                 1.6819,                 2.2434,                 1.9006,                  1.751,                 2.3583,                 1.9058,             0.00069044,             0.00069044,             0.00069044
                      8,                 1.3913,                 1.6649,                 1.5638,                 1.4544,                 1.8672,                  1.547,                0.38009,                0.45431,                0.39956,                0.18175,                 1.6351,                 2.0337,                 1.8344,                 1.6339,                 2.0566,                 1.7857,             0.00068573,             0.00068573,             0.00068573
                      9,                 1.3612,                 1.6079,                 1.5455,                 1.4264,                   1.82,                 1.5335,                0.34911,                0.36593,                0.31765,                0.15527,                 1.7556,                 2.1854,                 1.9974,                 1.7522,                 2.2664,                 1.9851,             0.00068101,             0.00068101,             0.00068101
                     10,                 1.3683,                 1.6057,                 1.5628,                 1.4311,                 1.7872,                 1.5478,                0.46074,                0.50434,                0.45018,                0.21381,                 1.6016,                 1.8533,                 1.7772,                 1.6545,                 1.9369,                 1.7895,              0.0006763,              0.0006763,              0.0006763
                     11,                 1.3347,                  1.533,                  1.521,                 1.4052,                  1.713,                 1.5106,                  0.447,                0.48424,                0.42153,                0.21171,                 1.5849,                 1.8909,                 1.7915,                 1.6282,                 1.9617,                 1.7609,             0.00067159,             0.00067159,             0.00067159
                     12,                 1.2983,                 1.4486,                 1.4885,                 1.3822,                 1.6013,                 1.4846,                0.49316,                0.49747,                0.48667,                0.23163,                 1.6201,                 1.6667,                 1.8158,                 1.7134,                 1.7276,                 1.8421,             0.00066688,             0.00066688,             0.00066688
                     13,                 1.3013,                  1.472,                 1.5185,                 1.3934,                  1.625,                 1.5117,                0.46565,                0.48197,                 0.4503,                0.23582,                 1.4737,                 1.8506,                 1.6974,                  1.533,                 1.8666,                  1.718,             0.00066216,             0.00066216,             0.00066216
                     14,                 1.2631,                 1.4459,                 1.4889,                 1.3448,                 1.5841,                 1.5013,                0.55293,                0.58099,                0.59548,                 0.3176,                 1.4379,                 1.4128,                 1.6517,                 1.5096,                 1.4605,                 1.6798,             0.00065745,             0.00065745,             0.00065745
                     15,                 1.2522,                 1.3973,                  1.477,                 1.3352,                 1.5292,                  1.486,                0.57396,                0.57048,                0.58196,                0.30945,                 1.4874,                 1.4382,                 1.6822,                 1.5367,                 1.5745,                 1.7067,             0.00065274,             0.00065274,             0.00065274
                     16,                  1.238,                  1.353,                  1.471,                 1.2913,                 1.5169,                  1.467,                0.57615,                0.52614,                0.54257,                0.28621,                 1.4771,                 1.4872,                 1.6932,                 1.5133,                 1.5946,                  1.705,             0.00064803,             0.00064803,             0.00064803
                     17,                 1.2073,                 1.3478,                 1.4641,                 1.2874,                 1.5029,                 1.4655,                0.52977,                0.54167,                0.52631,                0.29017,                 1.4263,                  1.558,                 1.6685,                 1.4463,                 1.6701,                 1.6466,             0.00064331,             0.00064331,             0.00064331
                     18,                 1.2448,                 1.3721,                 1.4834,                 1.3268,                 1.5128,                 1.4902,                 0.5167,                0.51596,                0.53056,                0.28134,                   1.45,                 1.5351,                 1.6659,                 1.4896,                 1.6134,                 1.6608,              0.0006386,              0.0006386,              0.0006386
                     19,                 1.2373,                 1.3109,                 1.4719,                 1.3131,                 1.4555,                 1.4628,                0.50502,                0.56348,                0.52871,                0.28459,                 1.4735,                 1.5634,                 1.6898,                   1.53,                 1.5332,                 1.6702,             0.00063389,             0.00063389,             0.00063389
                     20,                 1.1794,                 1.2763,                 1.4323,                 1.2533,                  1.403,                 1.4353,                0.54394,                0.56949,                0.56933,                0.31133,                 1.4434,                 1.4179,                 1.6574,                 1.4861,                 1.4934,                  1.672,             0.00062918,             0.00062918,             0.00062918
                     21,                 1.2094,                 1.3019,                 1.4482,                 1.2828,                 1.4666,                 1.4515,                0.62789,                0.58365,                0.63535,                0.34294,                 1.4284,                 1.3206,                 1.6214,                 1.4709,                  1.324,                  1.622,             0.00062446,             0.00062446,             0.00062446
