                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3205,                 3.4665,                 1.4332,                  1.223,                 5.1957,                 1.3452,                0.01357,                  0.892,                0.08836,                0.05117,                 1.1881,                 3.4803,                 1.3439,                0.98931,                 6.3642,                 1.2728,             0.00011424,             0.00011424,             0.00011424
                      2,                 1.2266,                 2.7223,                 1.3654,                 1.0865,                 4.5147,                  1.235,                0.01179,                0.93481,                0.16664,                0.09542,                 1.2326,                 3.3417,                 1.4519,                 1.0034,                 6.2764,                 1.2954,             0.00023329,             0.00023329,             0.00023329
                      3,                  1.267,                 2.1341,                 1.3793,                 1.0961,                 4.1642,                 1.2363,                0.01092,                0.91522,                0.19151,                0.10335,                 1.2909,                 3.0982,                 1.4848,                 1.0745,                 6.1229,                 1.3189,             0.00034993,             0.00034993,             0.00034993
                      4,                 1.2591,                 1.8626,                 1.3618,                 1.1366,                 3.7356,                 1.2375,                0.00979,                0.92769,                0.17288,                0.09343,                 1.3973,                 2.9062,                 1.5013,                 1.1498,                 5.9893,                 1.3265,             0.00046417,             0.00046417,             0.00046417
                      5,                 1.2676,                 1.7942,                 1.3679,                 1.1761,                 3.5713,                 1.2609,                0.61715,                0.07687,                0.20333,                0.10366,                 1.4911,                 2.6825,                 1.6293,                  1.232,                 5.6266,                 1.4224,             0.00057601,             0.00057601,             0.00057601
                      6,                 1.2705,                  1.752,                 1.3584,                 1.1858,                 3.3491,                 1.2571,                0.49596,                0.14911,                0.21019,                0.09333,                 1.7705,                 2.7788,                 1.9556,                  1.531,                 5.5312,                 1.7207,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.2596,                 1.6583,                 1.3367,                 1.2061,                 3.0308,                 1.2563,                0.40541,                0.19027,                0.22112,                0.10935,                 1.6282,                 2.7791,                  1.802,                 1.3825,                 4.8757,                 1.5533,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.2834,                 1.6741,                 1.3678,                 1.2299,                 2.8953,                 1.2732,                0.35275,                0.35726,                0.26681,                0.13938,                 1.5438,                 2.3239,                 1.7838,                 1.4004,                 4.1833,                 1.5585,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.2485,                 1.6032,                  1.342,                 1.2143,                 2.6279,                 1.2633,                0.39175,                 0.3598,                0.31384,                0.16247,                 1.5651,                 2.1686,                 1.7622,                 1.5093,                 3.7143,                 1.6788,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.2465,                  1.525,                 1.3495,                  1.232,                 2.4123,                 1.2709,                0.45171,                0.41393,                0.39598,                0.20101,                 1.5096,                 1.8762,                 1.6223,                 1.4232,                  3.125,                 1.5083,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.2344,                 1.4837,                 1.3369,                 1.2121,                 2.2746,                  1.259,                0.36111,                0.39445,                0.27584,                0.12645,                 1.5587,                 2.2236,                 1.6884,                 1.4981,                  3.333,                 1.6065,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.2268,                 1.4246,                 1.3174,                 1.2291,                 2.1031,                 1.2419,                0.47679,                0.42663,                0.39303,                0.18585,                 1.6449,                 2.0726,                 1.7272,                  1.585,                 2.9436,                 1.6395,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.1979,                 1.4089,                 1.3202,                 1.1982,                 2.0032,                 1.2546,                0.52948,                0.45224,                0.46174,                0.23727,                 1.5102,                 1.7995,                 1.5924,                 1.4744,                 2.5699,                 1.5085,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.2023,                 1.3705,                 1.3152,                 1.2124,                 1.8965,                 1.2489,                 0.5115,                0.47059,                0.44999,                0.23011,                 1.5567,                 1.8445,                 1.6208,                 1.4884,                 2.5118,                 1.5421,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.1921,                 1.3132,                 1.3017,                 1.2323,                 1.7667,                 1.2411,                0.55118,                0.46603,                0.46766,                0.24665,                 1.5192,                 1.7147,                 1.5978,                 1.4572,                 2.3073,                 1.5273,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.1658,                 1.2866,                 1.2897,                 1.2004,                 1.7188,                 1.2396,                0.64027,                0.47868,                0.52444,                0.28915,                 1.4332,                 1.5863,                 1.5166,                  1.421,                 2.0916,                 1.4818,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.1722,                 1.2875,                  1.293,                 1.1985,                   1.68,                 1.2343,                0.58545,                0.47237,                0.50337,                0.28066,                 1.4863,                 1.6427,                 1.5569,                 1.4107,                 2.1557,                 1.4563,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.1546,                 1.2311,                 1.2813,                 1.1827,                 1.5866,                 1.2288,                0.54842,                 0.4848,                0.47344,                0.26531,                 1.4343,                 1.6882,                 1.5349,                 1.4055,                 2.0751,                 1.4728,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.1669,                 1.2308,                 1.2937,                  1.199,                 1.5965,                 1.2403,                0.59327,                0.47976,                0.51385,                0.27224,                  1.438,                 1.6379,                 1.5222,                 1.4387,                 1.9817,                 1.4705,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.1749,                 1.2228,                 1.2865,                 1.2055,                 1.5633,                 1.2309,                0.60822,                0.50045,                0.53884,                0.29181,                 1.4785,                 1.5556,                 1.5411,                 1.4606,                 1.9547,                 1.4935,             0.00058677,             0.00058677,             0.00058677
                     21,                 1.1292,                 1.1778,                 1.2577,                 1.1758,                 1.4994,                 1.2131,                0.57359,                0.59211,                0.59853,                0.31657,                 1.4542,                  1.445,                   1.52,                 1.4571,                 1.7446,                  1.483,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.1001,                 1.1421,                  1.238,                 1.1516,                 1.4141,                 1.1961,                0.61944,                0.57642,                0.59752,                0.32463,                 1.4023,                 1.3971,                  1.475,                 1.4209,                 1.6841,                 1.4456,             0.00057263,             0.00057263,             0.00057263
                     23,                 1.0887,                 1.1216,                 1.2563,                 1.1305,                 1.4181,                 1.2141,                0.61193,                0.45281,                0.52086,                0.27642,                 1.4545,                 1.5985,                 1.5478,                 1.4521,                 1.9142,                 1.4857,             0.00056556,             0.00056556,             0.00056556
