                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4721,                 2.2767,                 1.6082,                 1.4446,                 5.0565,                 1.5401,                 0.6447,                0.55778,                0.59351,                0.30377,                 1.5329,                 1.4312,                 1.4996,                 1.5256,                 1.5211,                 1.4954,               0.003313,               0.003313,               0.003313
                      2,                 1.3225,                 1.3153,                 1.4395,                 1.3878,                 1.5065,                 1.4362,                0.46883,                0.51044,                0.43907,                0.20722,                 1.6119,                 1.8493,                 1.6353,                 1.6852,                 1.9534,                 1.6634,              0.0066244,              0.0066244,              0.0066244
                      3,                  1.416,                 1.5193,                 1.5367,                 1.5005,                 1.7126,                 1.5366,                0.16896,                0.24519,                0.10584,                0.03416,                  2.248,                 4.1505,                 2.3112,                 2.2589,                 4.8967,                  2.258,              0.0099138,              0.0099138,              0.0099138
                      4,                 1.4812,                 1.6764,                 1.5962,                 1.5612,                 1.9186,                 1.5786,                0.45268,                0.49249,                0.46872,                0.20755,                  1.764,                 2.4133,                 1.8872,                 1.8325,                 2.0825,                 1.8714,               0.009901,               0.009901,               0.009901
                      5,                  1.425,                  1.554,                 1.5512,                  1.507,                 1.7629,                 1.5435,                0.46385,                0.44384,                0.40513,                0.17772,                 1.6415,                   2.07,                 1.7194,                 1.7873,                 2.0662,                 1.7735,               0.009901,               0.009901,               0.009901
                      6,                 1.3752,                  1.457,                 1.5157,                 1.4688,                 1.6228,                   1.52,                0.52193,                0.47599,                0.49632,                0.23891,                  1.667,                 1.7565,                 1.7083,                 1.7418,                 1.8075,                 1.7249,               0.009868,               0.009868,               0.009868
                      7,                 1.3316,                 1.3746,                 1.4825,                 1.4259,                  1.533,                 1.4921,                0.58702,                0.54712,                 0.5688,                0.29697,                  1.518,                 1.4834,                 1.5934,                 1.6256,                 1.5895,                 1.6291,               0.009835,               0.009835,               0.009835
                      8,                  1.301,                 1.2887,                 1.4527,                 1.3955,                 1.4352,                 1.4671,                 0.6587,                0.61344,                0.66421,                0.35266,                 1.4954,                 1.3161,                 1.5724,                 1.5979,                 1.3771,                 1.5951,               0.009802,               0.009802,               0.009802
                      9,                 1.2871,                 1.2574,                 1.4458,                 1.3909,                 1.3738,                 1.4646,                0.65821,                0.62113,                0.65458,                0.33902,                 1.5508,                 1.2794,                 1.5721,                 1.5852,                 1.3293,                  1.556,               0.009769,               0.009769,               0.009769
                     10,                 1.2668,                 1.2157,                 1.4282,                 1.3635,                 1.3273,                 1.4409,                0.69651,                0.66609,                0.71115,                0.37326,                 1.4904,                 1.1799,                 1.5442,                 1.5667,                 1.2072,                 1.5569,               0.009736,               0.009736,               0.009736
                     11,                 1.2401,                 1.1624,                 1.4081,                  1.344,                 1.2706,                 1.4255,                  0.657,                0.62111,                  0.668,                0.35791,                 1.4807,                 1.2511,                  1.535,                 1.5444,                 1.3121,                 1.5626,               0.009703,               0.009703,               0.009703
                     12,                 1.2153,                  1.131,                 1.3929,                 1.3226,                 1.2292,                 1.4096,                0.71434,                0.65348,                0.71502,                0.38146,                 1.5035,                 1.1928,                 1.5661,                 1.5578,                 1.2405,                 1.5634,                0.00967,                0.00967,                0.00967
