                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3096,                 2.4826,                 1.4317,                 1.2612,                 9.2638,                 1.3806,                0.27703,                0.28489,                0.22251,                0.10814,                 1.6651,                 2.5506,                 1.9939,                 1.5929,                 4.1211,                 1.8506,             0.00023439,             0.00023439,             0.00023439
                      2,                 1.4358,                 1.7305,                 1.5193,                 1.4569,                 2.2235,                 1.4747,                0.42694,                0.38392,                0.35016,                0.15131,                 1.7661,                 2.6854,                 1.8705,                 1.7877,                 3.0824,                 1.8327,             0.00046928,             0.00046928,             0.00046928
                      3,                 1.4851,                 1.7629,                 1.5192,                 1.5576,                 2.0099,                 1.4602,                0.22052,                0.27991,                0.14015,                0.05413,                 2.0081,                 4.6568,                  2.186,                 1.9964,                  4.493,                 2.0525,             0.00070102,             0.00070102,             0.00070102
                      4,                  1.473,                 1.7318,                 1.5283,                 1.5559,                 1.9289,                 1.4933,                0.39411,                0.41706,                0.36555,                0.14643,                 1.8346,                 2.4404,                 1.9269,                 1.9196,                 2.8345,                 1.9036,             0.00069986,             0.00069986,             0.00069986
                      5,                 1.4753,                  1.726,                 1.5319,                 1.5403,                 1.9181,                 1.4865,                0.38693,                0.44519,                0.34713,                0.14076,                 1.8039,                 2.5274,                 1.8152,                 1.9262,                 2.5572,                 1.8145,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.4386,                 1.6556,                 1.5156,                  1.505,                 1.8331,                   1.48,                0.54324,                0.50552,                0.50858,                0.24478,                 1.6121,                 1.7673,                 1.6885,                 1.7169,                 1.8781,                 1.7183,             0.00069515,             0.00069515,             0.00069515
                      7,                 1.3904,                 1.5719,                 1.4708,                 1.4624,                 1.7376,                 1.4442,                0.51455,                0.48473,                0.48096,                0.24126,                 1.6501,                 1.7703,                 1.7823,                 1.7262,                  1.841,                 1.7854,             0.00069044,             0.00069044,             0.00069044
                      8,                 1.3547,                 1.5247,                 1.4482,                 1.4387,                 1.6772,                 1.4096,                0.44274,                0.50903,                0.46006,                0.23098,                 1.6393,                  1.918,                 1.7657,                 1.6573,                 1.9002,                 1.7311,             0.00068573,             0.00068573,             0.00068573
                      9,                 1.3459,                 1.4792,                 1.4347,                  1.448,                 1.6293,                  1.427,                0.53947,                0.57467,                 0.5664,                0.28304,                 1.6016,                  1.553,                 1.6559,                  1.624,                  1.578,                 1.6422,             0.00068101,             0.00068101,             0.00068101
                     10,                 1.3175,                 1.4464,                 1.4207,                 1.3931,                 1.5817,                 1.4035,                0.57358,                0.56063,                0.57237,                0.27674,                 1.5794,                 1.6215,                 1.6545,                 1.6564,                 1.6818,                 1.6457,              0.0006763,              0.0006763,              0.0006763
                     11,                 1.3012,                 1.4005,                 1.4041,                 1.4028,                 1.5221,                 1.3898,                  0.532,                0.54053,                0.54996,                0.28431,                 1.4907,                 1.5624,                 1.5776,                 1.5552,                 1.6157,                 1.5647,             0.00067159,             0.00067159,             0.00067159
                     12,                 1.2915,                 1.3581,                  1.393,                 1.3823,                 1.4698,                 1.3739,                0.53188,                0.51966,                0.52825,                0.27117,                 1.5529,                 1.5865,                 1.6152,                 1.6172,                 1.5309,                 1.6235,             0.00066688,             0.00066688,             0.00066688
                     13,                 1.2861,                 1.3563,                 1.4081,                 1.3838,                 1.4576,                 1.3912,                0.57757,                0.58053,                 0.5941,                0.31279,                 1.4982,                 1.4363,                 1.6017,                 1.5633,                 1.5082,                  1.592,             0.00066216,             0.00066216,             0.00066216
                     14,                 1.2376,                 1.3254,                  1.382,                 1.3072,                 1.4625,                  1.363,                0.62418,                0.58576,                0.63762,                0.34013,                 1.4502,                 1.3403,                 1.5328,                 1.5482,                 1.3678,                 1.5474,             0.00065745,             0.00065745,             0.00065745
                     15,                 1.2512,                 1.3161,                 1.3831,                 1.3353,                 1.4104,                 1.3671,                0.61904,                0.61764,                0.64033,                0.33725,                 1.4445,                 1.3668,                 1.5316,                 1.5268,                 1.3976,                 1.5523,             0.00065274,             0.00065274,             0.00065274
                     16,                 1.2296,                 1.2751,                 1.3712,                 1.3098,                 1.3904,                 1.3606,                0.69325,                0.60462,                0.67509,                0.36692,                 1.4233,                 1.2676,                 1.5069,                 1.4996,                 1.2566,                 1.5174,             0.00064803,             0.00064803,             0.00064803
                     17,                 1.1991,                 1.2569,                 1.3528,                  1.291,                 1.3681,                 1.3562,                0.65787,                0.57131,                0.64169,                0.32763,                 1.5093,                 1.3477,                 1.5959,                 1.5985,                  1.371,                 1.6175,             0.00064331,             0.00064331,             0.00064331
